ANZSCO,Occupation,National future Demand,Shortage Driver,National Shortage Rating,New South Wales Shortage Rating,Victoria Shortage Rating,Queensland Shortage Rating,South Australia Shortage Rating,Western Australia Shortage Rating,Tasmania Shortage Rating,Northern Territory Shortage Rating,Australian Capital Territory Shortage Rating
3514,Cooks,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3611,Animal Attendants and Trainers,At economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3613,Veterinary Nurses,Below economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3621,Florists,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3623,Sports Turf Managers and Trades Workers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3624,Nurserypersons,At economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3625,Arboriculture Workers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3626,Gardeners (General),At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage
3627,Landscape Gardeners and Irrigation Technicians,At economy-wide average,Short Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3631,"Senior Aquaculture, Crop and Forestry Workers",At economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3632,Senior Livestock Farm Workers,At economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3633,Shearers and Wool Classers,At economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3911,Hairdressers,Below economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3921,Print Finishers and Screen Printers,At economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage
3922,Graphic Pre-press Trades Workers,Below economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,No Shortage,No Shortage
3923,Printers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage
3931,Canvas and Leather Goods Makers,Below economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3932,Clothing Trades Workers,Below economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3933,Upholsterers,Below economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3941,Cabinet and Furniture Makers,Below economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3942,Wood Machinists and Other Wood Trades Workers,Below economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage
3991,Boat Builders and Shipwrights,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage
3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3993,"Gallery, Library and Museum Technicians",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3994,Jewellers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3995,Performing Arts Technicians,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3996,Signwriters,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
3999,Other Miscellaneous Technicians and Trades Workers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
4111,Ambulance Officers and Paramedics,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,Shortage
4112,"Dental Hygienists, Technicians and Therapists",At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
4113,Diversional Therapists,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage
4114,Enrolled and Mothercraft Nurses,At economy-wide average,Retention Gap,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
4115,Indigenous Health Workers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,Shortage,No Shortage,Shortage,No Shortage
4116,Massage Therapists,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
4117,Welfare Support Workers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
4211,Child Carers,Above economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
4221,Education Aides,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
4231,Aged and Disabled Carers,Above economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
4232,Dental Assistants,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
4233,Nursing Support and Personal Care Workers,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
4234,Special Care Workers,Above economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
4311,Bar Attendants and Baristas,Above economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
4313,Gaming Workers,Above economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
4314,Hotel Service Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage
4315,Waiters,Above economy-wide average,Retention Gap,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Shortage,Regional Shortage,Regional Shortage,No Shortage
4412,Fire and Emergency Workers,Below economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage
4413,Police,Below economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
4421,Prison Officers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
4422,Security Officers and Guards,At economy-wide average,Short Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
4511,Beauty Therapists,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
4512,Driving Instructors,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
4513,Funeral Workers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
4514,"Gallery, Museum and Tour Guides",Below economy-wide average,Short Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage
4515,Personal Care Consultants,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
4516,Tourism and Travel Advisers,At economy-wide average,Short Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
4517,Travel Attendants,At economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,No Shortage,Shortage,Shortage
4518,Other Personal Service Workers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
4521,Fitness Instructors,Above economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
4522,Outdoor Adventure Guides,Above economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
4523,"Sports Coaches, Instructors and Officials",Above economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
4524,Sportspersons,Above economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5111,"Contract, Program and Project Administrators",Above economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5121,Office Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5122,Practice Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,Regional Shortage,Shortage,No Shortage,No Shortage,No Shortage
5211,Personal Assistants,Below economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5212,Secretaries,Below economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5311,General Clerks,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
5321,Keyboard Operators,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5411,Call or Contact Centre Workers,Above economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5412,Information Officers,Above economy-wide average,,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5421,Receptionists,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
5511,Accounting Clerks,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
5512,Bookkeepers,Below economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
5513,Payroll Clerks,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5521,Bank Workers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5522,Credit and Loans Officers (Aus) / Finance Clerks (NZ),At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5523,"Insurance, Money Market and Statistical Clerks",At economy-wide average,,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5911,Purchasing and Supply Logistics Clerks,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5912,Transport and Despatch Clerks,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5991,Conveyancers and Legal Executives,Above economy-wide average,,No Shortage,No Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage
5992,Court and Legal Clerks,Above economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5993,Debt Collectors,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5994,Human Resource Clerks,Above economy-wide average,,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5995,Inspectors and Regulatory Officers,Above economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",Above economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,No Shortage,Shortage
5997,Library Assistants,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
5999,Other Miscellaneous Clerical and Administrative Workers,Above economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
6111,"Auctioneers, and Stock and Station Agents",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
6112,Insurance Agents,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
6113,Sales Representatives,At economy-wide average,,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
6121,Real Estate Sales Agents,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
6213,Motor Vehicle and Vehicle Parts Salespersons,At economy-wide average,,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,No Shortage,Shortage,No Shortage
6214,Pharmacy Sales Assistants,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage
6215,Retail Supervisors,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
6392,Retail and Wool Buyers,Above economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
6395,Visual Merchandisers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
6399,Other Sales Support Workers,At economy-wide average,,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
7112,Industrial Spraypainters,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
7113,Paper and Wood Processing Machine Operators,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
7114,Photographic Developers and Printers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
7115,Plastics and Rubber Production Machine Operators,Below economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,No Shortage
7116,Sewing Machinists,Below economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
7117,Textile and Footwear Production Machine Operators,Below economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
7119,Other Machine Operators,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
7121,"Crane, Hoist and Lift Operators",At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
7122,"Drillers, Miners and Shot Firers",At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
7123,Engineering Production Workers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
7129,Other Stationary Plant Operators,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
7211,"Agricultural, Forestry and Horticultural Plant Operators",Below economy-wide average,Yet to be Determined,Regional Shortage,Shortage,Regional Shortage,Regional Shortage,Regional Shortage,No Shortage,Regional Shortage,Regional Shortage,No Shortage
7212,Earthmoving Plant Operators,At economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
7213,Forklift Drivers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
7219,Other Mobile Plant Operators,Below economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
7311,Automobile Drivers,Below economy-wide average,,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
7312,Bus and Coach Drivers,Below economy-wide average,Short Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
7313,Train and Tram Drivers,Below economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage
7321,Delivery Drivers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
7331,Truck Drivers,Below economy-wide average,Short Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
7411,Storepersons,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
8116,Other Cleaners,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
8213,Fencers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
8214,Insulation and Home Improvement Installers,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage
8216,Railway Track Workers,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,No Shortage
8217,Structural Steel Construction Workers,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
8219,Other Construction and Mining Labourers,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,Shortage
8312,"Meat Boners and Slicers, and Slaughterers",At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
8393,Product Quality Controllers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
8422,Crop Farm Workers,At economy-wide average,,No Shortage,Regional Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
8423,Livestock Farm Workers,At economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
8431,Forestry and Logging Workers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
8434,Pest Control Technicians,At economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
8992,Deck and Fishing Hands,At economy-wide average,,No Shortage,Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
8994,Motor Vehicle Parts and Accessories Fitters,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage
8995,Printing Assistants and Table Workers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
